state_id,state_type,state_name,state_hq,state_cd,state_detail,state_logi,state_lati,state_reach_img,state_map,estd_dd,estd_mm,estd_yy,state_web,state_lang1,state_lang2,state_seo_kword,state_seo_mtag,state_seo_data,state_p_status,state_status,state_dist
1,S,JAMMU AND KASHMIR,,JK,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,22
2,S,HIMACHAL PRADESH,,HP,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,12
3,S,PUNJAB,,PB,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,22
4,U,CHANDIGARH,,CH,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,1
5,S,UTTARAKHAND,,UK,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,13
6,S,HARYANA,,HR,"<p>
	ok</p>
",0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,1,22
7,U,DELHI,,DL,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,11
8,S,RAJASTHAN,,RJ,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,33
9,S,UTTAR PRADESH,,UP,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,75
10,S,BIHAR,,BR,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,38
11,S,SIKKIM,,SK,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,4
12,S,ARUNACHAL PRADESH,,AR,"<p>
	ok</p>
",0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,20
13,S,NAGALAND,,NL,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,11
14,S,MANIPUR,,MN,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,16
15,S,MIZORAM,,MZ,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,8
16,S,TRIPURA,,TR,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,8
17,S,MEGHALAYA,,ML,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,11
18,S,ASSAM,,AS,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,33
19,S,WEST BENGAL,,WB,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,23
20,S,JHARKHAND,,JH,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,24
21,S,ODISHA,,OD,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,30
22,S,CHHATTISGARH,,CG,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,27
23,S,MADHYA PRADESH,,MP,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,51
24,S,GUJARAT,,GJ,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,33
25,U,DAMAN AND DIU,,DD,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,2
26,U,DADRA & NAGAR HAVELI,,DN,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,1
27,S,MAHARASHTRA,,MH,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,36
28,S,ANDHRA PRADESH,,AP,"<p>
	ok</p>
",0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,13
29,S,KARNATAKA,,KA,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,30
30,S,GOA,,GA,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,2
31,U,LAKSHADWEEP,,LD,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,1
32,S,KERALA,,KL,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,14
33,S,TAMIL NADU,,TN,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,32
34,U,PUDUCHERRY,,PY,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,4
35,U,ANDAMAN AND NICOBAR,,AN,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,3
36,S,TELANGANA,,TS,ok,0,0,ok,ok,0,0,0,0000-00-00 00:00:00,NULL,NULL,0000-00-00 00:00:00,0000-00-00 00:00:00,0000-00-00 00:00:00,1,0,31
